PersonID,Age,Sex,RuralStatus
10095900,Between 21 and 23 years old,Male,Small metro
10096015,Between 35 and 49 years old,Female,Large Metro
10096103,Between 18 and 20 years old,Male,Large Metro
10096687,14 or 15 years old,Female,Small metro
10097693,12 or 13 years old,Male,Large Metro
10099136,Between 26 and 29 years old,Male,Large Metro
10099259,Between 50 and 64 years old,Male,Large Metro
10101423,65 years old or older,Male,Nonmetro
10103190,Between 50 and 64 years old,Male,Large Metro
10103542,24 or 25 years old,Female,Small metro
10103633,Between 30 and 34 years old,Male,Small metro
10104977,14 or 15 years old,Female,Small metro
10105050,Between 30 and 34 years old,Male,Large Metro
10107016,Between 21 and 23 years old,Female,Small metro
10107734,Between 30 and 34 years old,Female,Large Metro
10108597,Between 18 and 20 years old,Male,Small metro
10109203,Between 35 and 49 years old,Male,Small metro
10110363,65 years old or older,Male,Large Metro
10110527,Between 21 and 23 years old,Male,Small metro
10111588,12 or 13 years old,Male,Large Metro
10111695,Between 21 and 23 years old,Male,Nonmetro
10111785,Between 18 and 20 years old,Female,Small metro
10112182,12 or 13 years old,Male,Large Metro
10113537,Between 35 and 49 years old,Female,Nonmetro
10113610,65 years old or older,Male,Large Metro
10113780,Between 26 and 29 years old,Female,Large Metro
10113823,Between 35 and 49 years old,Female,Large Metro
10116205,Between 26 and 29 years old,Male,Small metro
10116389,Between 18 and 20 years old,Female,Small metro
10117681,Between 35 and 49 years old,Female,Large Metro
10118344,Between 35 and 49 years old,Male,Large Metro
10118605,Between 30 and 34 years old,Male,Nonmetro
10118655,12 or 13 years old,Female,Nonmetro
10119562,24 or 25 years old,Female,Nonmetro
10121752,Between 18 and 20 years old,Female,Large Metro
10122898,Between 35 and 49 years old,Male,Large Metro
10123471,Between 35 and 49 years old,Female,Large Metro
10123739,Between 18 and 20 years old,Male,Small metro
10124026,Between 30 and 34 years old,Male,Small metro
10124248,16 or 17 years old,Male,Large Metro
10125103,Between 35 and 49 years old,Female,Large Metro
10125361,Between 30 and 34 years old,Female,Large Metro
10126045,12 or 13 years old,Male,Large Metro
10126614,Between 35 and 49 years old,Male,Nonmetro
10127833,Between 35 and 49 years old,Female,Small metro
10129579,Between 35 and 49 years old,Female,Small metro
10129802,16 or 17 years old,Male,Nonmetro
