PersonID,Age,Sex,RuralStatus
13379142,Between 30 and 34 years old,Male,Small metro
13379893,24 or 25 years old,Female,Large Metro
13379964,Between 50 and 64 years old,Male,Large Metro
13380354,24 or 25 years old,Female,Large Metro
13380490,Between 35 and 49 years old,Female,Large Metro
13381654,Between 18 and 20 years old,Male,Large Metro
13381949,Between 50 and 64 years old,Female,Small metro
13381996,Between 26 and 29 years old,Female,Small metro
13382553,Between 50 and 64 years old,Female,Large Metro
13383134,Between 35 and 49 years old,Male,Large Metro
13384725,Between 26 and 29 years old,Male,Large Metro
13385106,Between 35 and 49 years old,Male,Small metro
13385127,14 or 15 years old,Male,Small metro
13386812,Between 50 and 64 years old,Female,Small metro
13387811,Between 21 and 23 years old,Female,Small metro
13388002,Between 30 and 34 years old,Male,Small metro
13389828,Between 35 and 49 years old,Female,Small metro
13389835,16 or 17 years old,Male,Large Metro
13391920,Between 35 and 49 years old,Female,Large Metro
13394255,Between 35 and 49 years old,Male,Small metro
13396478,Between 21 and 23 years old,Male,Nonmetro
13398135,Between 26 and 29 years old,Female,Small metro
13398924,14 or 15 years old,Female,Large Metro
13399445,65 years old or older,Male,Nonmetro
13399790,24 or 25 years old,Female,Small metro
13400364,Between 18 and 20 years old,Male,Nonmetro
13401065,Between 30 and 34 years old,Male,Small metro
13401222,Between 21 and 23 years old,Male,Large Metro
13401558,24 or 25 years old,Female,Small metro
13402205,65 years old or older,Female,Small metro
13404484,16 or 17 years old,Male,Small metro
13405254,Between 50 and 64 years old,Female,Small metro
13405266,Between 50 and 64 years old,Male,Nonmetro
13405312,Between 35 and 49 years old,Female,Nonmetro
13406102,Between 35 and 49 years old,Female,Large Metro
13406655,24 or 25 years old,Female,Large Metro
13407606,Between 18 and 20 years old,Female,Small metro
13407625,Between 18 and 20 years old,Female,Large Metro
13408578,Between 26 and 29 years old,Male,Large Metro
13408726,Between 30 and 34 years old,Male,Small metro
13412466,Between 30 and 34 years old,Female,Nonmetro
13412543,Between 50 and 64 years old,Male,Large Metro
13412688,Between 26 and 29 years old,Male,Large Metro
13413920,Between 35 and 49 years old,Female,Large Metro
13414749,Between 21 and 23 years old,Male,Small metro
13418156,Between 30 and 34 years old,Male,Large Metro
13422599,65 years old or older,Male,Small metro
13422697,24 or 25 years old,Male,Nonmetro
13423454,Between 35 and 49 years old,Male,Large Metro
13423856,14 or 15 years old,Female,Large Metro
13424671,14 or 15 years old,Male,Large Metro
13424779,Between 50 and 64 years old,Female,Small metro
13424828,Between 35 and 49 years old,Female,Large Metro
13425581,24 or 25 years old,Female,Small metro
13426857,Between 18 and 20 years old,Female,Large Metro
13427802,16 or 17 years old,Female,Small metro
13428721,16 or 17 years old,Male,Small metro
13430254,65 years old or older,Female,Small metro
13430608,Between 18 and 20 years old,Male,Nonmetro
13430929,12 or 13 years old,Male,Large Metro
13431571,14 or 15 years old,Male,Small metro
13432189,Between 21 and 23 years old,Female,Large Metro
13433202,Between 50 and 64 years old,Male,Large Metro
13433217,Between 30 and 34 years old,Female,Nonmetro
13434041,Between 50 and 64 years old,Female,Large Metro
13434076,16 or 17 years old,Male,Small metro
13434990,Between 26 and 29 years old,Male,Small metro
13435163,Between 21 and 23 years old,Female,Small metro
13435914,16 or 17 years old,Female,Small metro
13436783,Between 18 and 20 years old,Female,Large Metro
13437067,65 years old or older,Female,Large Metro
13437210,12 or 13 years old,Female,Large Metro
13437808,Between 21 and 23 years old,Female,Large Metro
13438006,Between 35 and 49 years old,Female,Large Metro
13438133,Between 35 and 49 years old,Male,Small metro
13438335,Between 21 and 23 years old,Male,Large Metro
13438463,65 years old or older,Male,Small metro
13439763,Between 30 and 34 years old,Female,Small metro
13439942,24 or 25 years old,Male,Small metro
13440638,14 or 15 years old,Female,Small metro
13441337,Between 35 and 49 years old,Male,Large Metro
13442559,Between 26 and 29 years old,Male,Small metro
13443010,Between 18 and 20 years old,Female,Large Metro
13443013,Between 21 and 23 years old,Male,Large Metro
13444219,Between 35 and 49 years old,Male,Small metro
13444888,Between 30 and 34 years old,Female,Small metro
13444890,16 or 17 years old,Male,Large Metro
13445253,Between 50 and 64 years old,Female,Small metro
13445258,Between 35 and 49 years old,Female,Small metro
13448433,65 years old or older,Male,Small metro
13449216,Between 18 and 20 years old,Female,Large Metro
13449294,Between 18 and 20 years old,Male,Small metro
13449665,12 or 13 years old,Male,Large Metro
13450638,Between 30 and 34 years old,Male,Large Metro
13452626,14 or 15 years old,Female,Small metro
13452911,65 years old or older,Male,Small metro
13452942,Between 50 and 64 years old,Male,Large Metro
13453829,Between 18 and 20 years old,Male,Large Metro
13454776,14 or 15 years old,Male,Small metro
13455056,Between 35 and 49 years old,Female,Small metro
13455560,Between 35 and 49 years old,Male,Small metro
13457976,Between 35 and 49 years old,Male,Small metro
13459128,Between 30 and 34 years old,Female,Small metro
13459516,Between 50 and 64 years old,Female,Large Metro
13459598,Between 21 and 23 years old,Male,Large Metro
13460246,Between 50 and 64 years old,Female,Small metro
13460357,Between 50 and 64 years old,Female,Large Metro
13462007,Between 18 and 20 years old,Male,Large Metro
13462279,14 or 15 years old,Male,Small metro
13463189,Between 21 and 23 years old,Male,Small metro
13464260,Between 18 and 20 years old,Female,Large Metro
13464296,Between 35 and 49 years old,Female,Nonmetro
13464330,Between 21 and 23 years old,Female,Large Metro
13464429,Between 35 and 49 years old,Female,Large Metro
13465692,12 or 13 years old,Male,Small metro
13466790,Between 30 and 34 years old,Female,Small metro
13467679,Between 35 and 49 years old,Female,Large Metro
13468247,Between 30 and 34 years old,Male,Small metro
13468380,65 years old or older,Male,Small metro
13469494,Between 35 and 49 years old,Female,Nonmetro
13471861,12 or 13 years old,Female,Large Metro
13473011,Between 35 and 49 years old,Female,Nonmetro
13477322,Between 35 and 49 years old,Male,Small metro
13478063,14 or 15 years old,Female,Nonmetro
13478903,14 or 15 years old,Male,Large Metro
13479760,Between 18 and 20 years old,Male,Large Metro
13479903,Between 30 and 34 years old,Female,Small metro
13480267,Between 26 and 29 years old,Male,Large Metro
13480559,24 or 25 years old,Female,Large Metro
13482235,65 years old or older,Female,Small metro
13482930,12 or 13 years old,Male,Large Metro
13483790,Between 35 and 49 years old,Male,Large Metro
13484764,Between 35 and 49 years old,Female,Large Metro
13485409,Between 21 and 23 years old,Female,Large Metro
13486024,16 or 17 years old,Male,Nonmetro
13486494,Between 35 and 49 years old,Female,Small metro
13486852,Between 50 and 64 years old,Female,Small metro
13486903,24 or 25 years old,Female,Large Metro
13487412,Between 26 and 29 years old,Female,Small metro
13487615,65 years old or older,Male,Large Metro
13487844,Between 50 and 64 years old,Male,Large Metro
13491450,12 or 13 years old,Female,Large Metro
13494202,Between 18 and 20 years old,Male,Large Metro
13495705,14 or 15 years old,Male,Large Metro
13495761,Between 35 and 49 years old,Male,Large Metro
13496929,Between 21 and 23 years old,Male,Nonmetro
13497970,Between 35 and 49 years old,Female,Nonmetro
13498127,14 or 15 years old,Male,Small metro
13498346,Between 35 and 49 years old,Female,Large Metro
13498675,Between 30 and 34 years old,Female,Small metro
13498686,Between 35 and 49 years old,Male,Small metro
13499208,Between 35 and 49 years old,Female,Small metro
13499637,65 years old or older,Male,Large Metro
13500023,65 years old or older,Male,Large Metro
13500518,Between 35 and 49 years old,Female,Small metro
13501088,Between 21 and 23 years old,Female,Large Metro
13502009,Between 35 and 49 years old,Female,Small metro
13503268,12 or 13 years old,Female,Small metro
13503403,12 or 13 years old,Female,Large Metro
13503532,Between 35 and 49 years old,Female,Large Metro
13503550,Between 26 and 29 years old,Male,Nonmetro
13503946,Between 18 and 20 years old,Female,Small metro
13506241,Between 30 and 34 years old,Male,Large Metro
13507079,14 or 15 years old,Female,Small metro
13507432,65 years old or older,Female,Large Metro
13507454,Between 30 and 34 years old,Male,Small metro
13508540,Between 18 and 20 years old,Male,Large Metro
13508710,14 or 15 years old,Male,Large Metro
13509476,Between 21 and 23 years old,Female,Small metro
13509867,Between 50 and 64 years old,Male,Large Metro
13510371,Between 35 and 49 years old,Male,Nonmetro
13510735,65 years old or older,Female,Large Metro
13510832,Between 26 and 29 years old,Female,Nonmetro
13511361,24 or 25 years old,Female,Large Metro
13512104,Between 50 and 64 years old,Male,Small metro
13512959,Between 35 and 49 years old,Male,Small metro
13513053,Between 26 and 29 years old,Female,Nonmetro
13513345,16 or 17 years old,Female,Nonmetro
13513654,Between 50 and 64 years old,Male,Small metro
13513715,Between 50 and 64 years old,Female,Large Metro
13516194,Between 50 and 64 years old,Female,Large Metro
13516814,65 years old or older,Female,Large Metro
13516926,12 or 13 years old,Female,Small metro
13518285,14 or 15 years old,Male,Small metro
13518965,Between 26 and 29 years old,Female,Large Metro
13519063,Between 35 and 49 years old,Male,Large Metro
13519782,Between 35 and 49 years old,Female,Large Metro
13520098,65 years old or older,Male,Small metro
13520912,Between 26 and 29 years old,Female,Small metro
13521006,65 years old or older,Male,Large Metro
13522494,65 years old or older,Female,Small metro
13522767,Between 50 and 64 years old,Female,Large Metro
13523023,Between 30 and 34 years old,Female,Large Metro
13524035,65 years old or older,Female,Small metro
13527514,Between 35 and 49 years old,Male,Large Metro
13527854,Between 30 and 34 years old,Female,Large Metro
13527860,24 or 25 years old,Female,Nonmetro
13529049,Between 21 and 23 years old,Female,Small metro
13529335,14 or 15 years old,Female,Large Metro
13529793,65 years old or older,Male,Nonmetro
13529871,Between 18 and 20 years old,Male,Large Metro
13530647,65 years old or older,Female,Nonmetro
13531006,65 years old or older,Male,Large Metro
13531927,Between 21 and 23 years old,Male,Small metro
13532059,16 or 17 years old,Male,Small metro
13532968,Between 35 and 49 years old,Female,Small metro
13533530,Between 26 and 29 years old,Female,Small metro
13533879,Between 21 and 23 years old,Male,Small metro
13534104,Between 30 and 34 years old,Male,Large Metro
13534585,65 years old or older,Female,Nonmetro
13536048,65 years old or older,Female,Small metro
13536713,Between 50 and 64 years old,Male,Large Metro
13537362,Between 30 and 34 years old,Male,Large Metro
13538263,12 or 13 years old,Female,Small metro
13538422,Between 30 and 34 years old,Female,Small metro
13538791,Between 21 and 23 years old,Female,Small metro
13540207,Between 35 and 49 years old,Male,Small metro
13541074,Between 21 and 23 years old,Male,Small metro
13542826,Between 35 and 49 years old,Male,Small metro
13542834,Between 35 and 49 years old,Female,Small metro
13543882,Between 35 and 49 years old,Female,Small metro
13544118,Between 18 and 20 years old,Female,Nonmetro
13545977,Between 35 and 49 years old,Female,Large Metro
13547524,16 or 17 years old,Male,Large Metro
13548195,14 or 15 years old,Male,Nonmetro
13550045,Between 50 and 64 years old,Male,Large Metro
13551806,Between 30 and 34 years old,Male,Large Metro
13553030,12 or 13 years old,Female,Small metro
13553106,Between 26 and 29 years old,Male,Large Metro
13553320,Between 30 and 34 years old,Female,Small metro
13556115,Between 18 and 20 years old,Male,Small metro
13557941,12 or 13 years old,Male,Small metro
13558341,Between 21 and 23 years old,Female,Large Metro
13558428,Between 35 and 49 years old,Female,Small metro
13560274,65 years old or older,Female,Large Metro
13560895,16 or 17 years old,Female,Large Metro
13561101,14 or 15 years old,Female,Small metro
13562676,16 or 17 years old,Male,Large Metro
13562902,12 or 13 years old,Male,Nonmetro
13564091,Between 30 and 34 years old,Male,Nonmetro
13564940,Between 21 and 23 years old,Female,Small metro
13565044,14 or 15 years old,Female,Nonmetro
13565269,65 years old or older,Female,Small metro
13566164,Between 21 and 23 years old,Female,Large Metro
13566200,Between 35 and 49 years old,Male,Large Metro
13566305,Between 18 and 20 years old,Male,Nonmetro
13567573,Between 26 and 29 years old,Female,Small metro
13568182,24 or 25 years old,Male,Small metro
13569112,Between 35 and 49 years old,Male,Small metro
13569777,Between 30 and 34 years old,Male,Large Metro
13570128,Between 30 and 34 years old,Female,Large Metro
13570653,Between 50 and 64 years old,Female,Large Metro
13570959,Between 50 and 64 years old,Female,Small metro
13571222,65 years old or older,Female,Small metro
13572350,65 years old or older,Male,Large Metro
13572474,24 or 25 years old,Female,Small metro
13573046,12 or 13 years old,Female,Small metro
13573799,Between 21 and 23 years old,Male,Large Metro
13574056,65 years old or older,Male,Small metro
13574086,Between 50 and 64 years old,Female,Small metro
13577705,Between 50 and 64 years old,Male,Small metro
13579122,65 years old or older,Male,Small metro
13579473,65 years old or older,Female,Small metro
13579908,Between 50 and 64 years old,Male,Large Metro
13580965,Between 35 and 49 years old,Female,Large Metro
13583539,12 or 13 years old,Male,Large Metro
13583989,16 or 17 years old,Female,Large Metro
13583996,Between 21 and 23 years old,Male,Nonmetro
13584237,14 or 15 years old,Female,Small metro
13585656,Between 35 and 49 years old,Female,Nonmetro
13586060,Between 30 and 34 years old,Female,Large Metro
13586639,Between 21 and 23 years old,Female,Nonmetro
13587730,Between 35 and 49 years old,Male,Small metro
13588002,Between 21 and 23 years old,Female,Large Metro
13588555,Between 35 and 49 years old,Male,Small metro
13590468,Between 30 and 34 years old,Female,Large Metro
13592823,16 or 17 years old,Male,Small metro
13593050,Between 18 and 20 years old,Male,Large Metro
13593091,24 or 25 years old,Female,Small metro
13593308,Between 35 and 49 years old,Female,Large Metro
13593566,12 or 13 years old,Female,Small metro
13593731,Between 30 and 34 years old,Male,Small metro
13593941,24 or 25 years old,Male,Nonmetro
13594703,Between 50 and 64 years old,Female,Large Metro
13595240,Between 35 and 49 years old,Male,Large Metro
13595547,Between 50 and 64 years old,Female,Nonmetro
13596987,Between 18 and 20 years old,Female,Large Metro
13598577,Between 35 and 49 years old,Female,Small metro
13599872,Between 35 and 49 years old,Female,Large Metro
13603206,Between 30 and 34 years old,Female,Small metro
13604228,Between 50 and 64 years old,Female,Large Metro
13604313,Between 35 and 49 years old,Male,Large Metro
13604651,Between 21 and 23 years old,Male,Nonmetro
13605058,Between 35 and 49 years old,Female,Large Metro
13605583,Between 35 and 49 years old,Male,Nonmetro
13606325,Between 21 and 23 years old,Male,Large Metro
13606859,Between 18 and 20 years old,Male,Large Metro
13607069,Between 30 and 34 years old,Female,Large Metro
13608218,16 or 17 years old,Male,Large Metro
13608698,16 or 17 years old,Female,Large Metro
13608814,14 or 15 years old,Male,Large Metro
13608925,Between 18 and 20 years old,Female,Large Metro
13609097,12 or 13 years old,Male,Large Metro
13609612,16 or 17 years old,Male,Large Metro
13609702,Between 35 and 49 years old,Male,Small metro
13612359,24 or 25 years old,Male,Large Metro
13614191,Between 50 and 64 years old,Male,Small metro
13614779,65 years old or older,Female,Large Metro
13615272,Between 18 and 20 years old,Male,Small metro
13615293,65 years old or older,Female,Small metro
13615454,65 years old or older,Male,Small metro
13615763,Between 26 and 29 years old,Female,Small metro
13615797,Between 30 and 34 years old,Female,Small metro
13616022,Between 35 and 49 years old,Male,Large Metro
13616668,Between 30 and 34 years old,Female,Large Metro
13616706,Between 18 and 20 years old,Male,Nonmetro
13616823,Between 35 and 49 years old,Female,Small metro
13619509,14 or 15 years old,Male,Large Metro
13620288,Between 18 and 20 years old,Female,Large Metro
13620444,Between 30 and 34 years old,Male,Large Metro
13620740,Between 50 and 64 years old,Male,Large Metro
13621569,Between 35 and 49 years old,Female,Large Metro
13621813,Between 35 and 49 years old,Female,Nonmetro
13621975,14 or 15 years old,Male,Large Metro
13622198,Between 30 and 34 years old,Female,Large Metro
13623132,Between 30 and 34 years old,Male,Large Metro
13623470,Between 35 and 49 years old,Female,Small metro
13623543,14 or 15 years old,Male,Large Metro
13625816,Between 35 and 49 years old,Female,Nonmetro
13626244,Between 50 and 64 years old,Male,Small metro
13626745,Between 35 and 49 years old,Female,Large Metro
13628239,14 or 15 years old,Male,Large Metro
13629250,14 or 15 years old,Female,Small metro
13629688,Between 35 and 49 years old,Female,Large Metro
13630035,12 or 13 years old,Male,Small metro
13631444,Between 35 and 49 years old,Male,Small metro
13632762,Between 21 and 23 years old,Male,Large Metro
13635081,16 or 17 years old,Female,Large Metro
13635721,Between 30 and 34 years old,Female,Large Metro
13635850,Between 30 and 34 years old,Female,Small metro
13636675,Between 21 and 23 years old,Male,Nonmetro
13637147,65 years old or older,Male,Nonmetro
13637674,Between 30 and 34 years old,Male,Small metro
13638012,Between 26 and 29 years old,Male,Small metro
13638274,12 or 13 years old,Male,Nonmetro
13638326,24 or 25 years old,Female,Large Metro
13639869,Between 35 and 49 years old,Male,Small metro
13639983,Between 35 and 49 years old,Male,Large Metro
13640089,Between 35 and 49 years old,Female,Small metro
13641179,16 or 17 years old,Male,Large Metro
13641533,Between 30 and 34 years old,Female,Small metro
13643691,Between 35 and 49 years old,Female,Large Metro
13644814,65 years old or older,Male,Large Metro
13645627,Between 35 and 49 years old,Male,Large Metro
13647543,Between 35 and 49 years old,Female,Large Metro
13648799,Between 35 and 49 years old,Female,Small metro
13648977,Between 50 and 64 years old,Female,Large Metro
13649005,14 or 15 years old,Female,Large Metro
13651466,14 or 15 years old,Female,Large Metro
13651687,12 or 13 years old,Female,Large Metro
13652569,14 or 15 years old,Male,Small metro
13652805,14 or 15 years old,Male,Large Metro
13653086,Between 35 and 49 years old,Male,Large Metro
13653946,Between 26 and 29 years old,Male,Nonmetro
13654594,16 or 17 years old,Female,Large Metro
13654973,Between 35 and 49 years old,Male,Nonmetro
13654992,Between 50 and 64 years old,Female,Small metro
13656110,Between 26 and 29 years old,Female,Small metro
13656376,16 or 17 years old,Female,Large Metro
13656555,Between 26 and 29 years old,Male,Large Metro
13656973,Between 35 and 49 years old,Female,Large Metro
13659032,65 years old or older,Female,Large Metro
13659602,65 years old or older,Female,Small metro
13660528,Between 50 and 64 years old,Female,Small metro
13661597,Between 21 and 23 years old,Male,Small metro
13663184,24 or 25 years old,Female,Small metro
13663633,Between 18 and 20 years old,Male,Small metro
13663854,Between 35 and 49 years old,Female,Large Metro
13664505,65 years old or older,Female,Nonmetro
13664801,16 or 17 years old,Female,Nonmetro
13664897,Between 30 and 34 years old,Male,Large Metro
13664996,12 or 13 years old,Female,Large Metro
13665538,Between 35 and 49 years old,Female,Small metro
13666633,Between 30 and 34 years old,Female,Large Metro
13667802,14 or 15 years old,Male,Small metro
13668215,16 or 17 years old,Female,Large Metro
13668684,16 or 17 years old,Female,Small metro
13668826,65 years old or older,Male,Large Metro
13669820,14 or 15 years old,Female,Large Metro
13671805,12 or 13 years old,Male,Small metro
13672069,Between 50 and 64 years old,Female,Large Metro
13672458,Between 26 and 29 years old,Male,Large Metro
13674230,Between 35 and 49 years old,Male,Large Metro
13674800,12 or 13 years old,Male,Small metro
13676337,65 years old or older,Female,Small metro
13676697,16 or 17 years old,Female,Large Metro
13676993,14 or 15 years old,Male,Nonmetro
13678335,Between 35 and 49 years old,Female,Small metro
13678911,Between 26 and 29 years old,Male,Nonmetro
13679205,12 or 13 years old,Female,Nonmetro
13679352,Between 18 and 20 years old,Male,Small metro
13679384,Between 26 and 29 years old,Male,Large Metro
13680935,Between 35 and 49 years old,Female,Small metro
13681205,Between 21 and 23 years old,Female,Small metro
13683504,Between 21 and 23 years old,Female,Small metro
13683872,Between 50 and 64 years old,Female,Nonmetro
13683971,Between 50 and 64 years old,Female,Large Metro
13684496,12 or 13 years old,Female,Large Metro
13685261,Between 35 and 49 years old,Male,Large Metro
13685760,Between 21 and 23 years old,Male,Small metro
13685934,14 or 15 years old,Female,Large Metro
13686072,Between 21 and 23 years old,Female,Small metro
13686092,Between 35 and 49 years old,Female,Large Metro
13686518,12 or 13 years old,Female,Small metro
13687782,24 or 25 years old,Female,Small metro
13688697,Between 30 and 34 years old,Male,Nonmetro
13689031,14 or 15 years old,Male,Small metro
13689397,16 or 17 years old,Male,Nonmetro
13689828,Between 30 and 34 years old,Female,Nonmetro
13691112,Between 35 and 49 years old,Female,Small metro
13691809,Between 35 and 49 years old,Female,Large Metro
13691970,Between 18 and 20 years old,Male,Small metro
13693224,Between 35 and 49 years old,Female,Large Metro
13694188,Between 35 and 49 years old,Female,Large Metro
13695533,Between 35 and 49 years old,Male,Small metro
13697412,65 years old or older,Male,Large Metro
13697433,Between 35 and 49 years old,Female,Small metro
13697658,16 or 17 years old,Female,Small metro
13698130,65 years old or older,Male,Nonmetro
13698521,12 or 13 years old,Female,Nonmetro
13699114,16 or 17 years old,Female,Small metro
13699216,14 or 15 years old,Male,Small metro
13699623,14 or 15 years old,Male,Small metro
13699831,Between 21 and 23 years old,Male,Small metro
13700235,Between 21 and 23 years old,Male,Nonmetro
13701012,Between 35 and 49 years old,Female,Nonmetro
13702337,12 or 13 years old,Female,Small metro
13702781,14 or 15 years old,Male,Small metro
13703180,Between 35 and 49 years old,Male,Large Metro
13704095,65 years old or older,Female,Small metro
13704223,Between 35 and 49 years old,Female,Small metro
13708324,Between 21 and 23 years old,Male,Large Metro
13708716,Between 30 and 34 years old,Male,Nonmetro
13710925,16 or 17 years old,Female,Nonmetro
13711191,Between 50 and 64 years old,Male,Small metro
13711380,Between 35 and 49 years old,Male,Large Metro
13712848,65 years old or older,Male,Large Metro
13713012,Between 26 and 29 years old,Female,Large Metro
13713319,Between 26 and 29 years old,Male,Large Metro
13713508,Between 35 and 49 years old,Female,Large Metro
13714368,Between 18 and 20 years old,Female,Small metro
13715074,Between 35 and 49 years old,Male,Nonmetro
13715363,Between 35 and 49 years old,Female,Small metro
13716265,Between 35 and 49 years old,Male,Small metro
13716515,Between 21 and 23 years old,Male,Small metro
13717367,Between 30 and 34 years old,Male,Nonmetro
13718588,Between 30 and 34 years old,Female,Large Metro
13719287,Between 21 and 23 years old,Male,Large Metro
13720891,Between 35 and 49 years old,Male,Small metro
13721182,65 years old or older,Male,Large Metro
13721187,Between 30 and 34 years old,Female,Large Metro
13721814,Between 50 and 64 years old,Female,Small metro
13722153,Between 35 and 49 years old,Male,Small metro
13723422,Between 30 and 34 years old,Female,Small metro
13723555,Between 30 and 34 years old,Female,Small metro
13723771,65 years old or older,Male,Small metro
13724148,Between 35 and 49 years old,Male,Small metro
13724291,Between 30 and 34 years old,Female,Large Metro
13726054,16 or 17 years old,Female,Large Metro
13726347,12 or 13 years old,Female,Small metro
13726980,12 or 13 years old,Female,Large Metro
13728405,65 years old or older,Female,Small metro
13728832,24 or 25 years old,Male,Small metro
13730294,65 years old or older,Female,Small metro
13731226,Between 30 and 34 years old,Female,Nonmetro
13731458,Between 35 and 49 years old,Male,Small metro
13731595,12 or 13 years old,Male,Large Metro
13732915,Between 26 and 29 years old,Female,Small metro
13733517,12 or 13 years old,Female,Small metro
13734636,65 years old or older,Male,Large Metro
13735436,14 or 15 years old,Male,Large Metro
13735768,12 or 13 years old,Male,Small metro
13735811,14 or 15 years old,Female,Small metro
13736490,12 or 13 years old,Male,Small metro
13738236,16 or 17 years old,Female,Large Metro
13739579,Between 50 and 64 years old,Female,Small metro
13740151,Between 26 and 29 years old,Male,Nonmetro
13740667,Between 35 and 49 years old,Male,Small metro
13740682,14 or 15 years old,Male,Nonmetro
13741255,Between 30 and 34 years old,Female,Large Metro
13741352,Between 21 and 23 years old,Female,Small metro
13741492,12 or 13 years old,Male,Large Metro
13742034,Between 26 and 29 years old,Female,Large Metro
13742066,65 years old or older,Male,Nonmetro
13742813,65 years old or older,Male,Large Metro
13743014,Between 35 and 49 years old,Female,Small metro
13743289,Between 30 and 34 years old,Male,Small metro
13743415,Between 50 and 64 years old,Male,Large Metro
13745036,16 or 17 years old,Female,Large Metro
13746148,16 or 17 years old,Female,Large Metro
13747413,Between 21 and 23 years old,Female,Large Metro
13747557,24 or 25 years old,Female,Nonmetro
13748090,16 or 17 years old,Male,Nonmetro
13749343,14 or 15 years old,Male,Small metro
13749626,12 or 13 years old,Female,Nonmetro
13750167,Between 26 and 29 years old,Female,Small metro
13750187,65 years old or older,Female,Large Metro
13750283,16 or 17 years old,Female,Large Metro
13750606,16 or 17 years old,Male,Small metro
13751135,Between 35 and 49 years old,Male,Large Metro
13751820,Between 35 and 49 years old,Female,Large Metro
13752440,24 or 25 years old,Male,Large Metro
13755348,Between 30 and 34 years old,Female,Large Metro
13756981,Between 21 and 23 years old,Male,Large Metro
13757272,12 or 13 years old,Male,Large Metro
13759726,Between 35 and 49 years old,Male,Large Metro
13760270,Between 35 and 49 years old,Female,Small metro
13760717,24 or 25 years old,Male,Small metro
13763010,24 or 25 years old,Female,Small metro
13763853,Between 35 and 49 years old,Male,Large Metro
13765464,Between 18 and 20 years old,Male,Large Metro
13766342,14 or 15 years old,Female,Large Metro
13767699,12 or 13 years old,Female,Large Metro
13768402,Between 21 and 23 years old,Female,Small metro
13768814,24 or 25 years old,Female,Large Metro
13769439,24 or 25 years old,Female,Nonmetro
13770055,Between 21 and 23 years old,Male,Small metro
13770581,Between 21 and 23 years old,Female,Large Metro
13771885,Between 35 and 49 years old,Male,Small metro
13771999,14 or 15 years old,Female,Small metro
13772430,Between 35 and 49 years old,Male,Large Metro
13773801,Between 21 and 23 years old,Female,Large Metro
13774329,24 or 25 years old,Female,Large Metro
13774528,14 or 15 years old,Female,Large Metro
13775047,14 or 15 years old,Male,Small metro
13775861,Between 35 and 49 years old,Female,Small metro
13777556,Between 26 and 29 years old,Male,Large Metro
13778547,Between 35 and 49 years old,Female,Large Metro
13778649,Between 30 and 34 years old,Male,Nonmetro
13779515,Between 18 and 20 years old,Male,Small metro
13779708,65 years old or older,Male,Small metro
13780727,Between 35 and 49 years old,Male,Large Metro
13780924,Between 30 and 34 years old,Male,Large Metro
13781181,24 or 25 years old,Female,Small metro
13781231,Between 21 and 23 years old,Male,Small metro
13781709,Between 26 and 29 years old,Female,Small metro
13781888,65 years old or older,Male,Small metro
13784021,Between 50 and 64 years old,Male,Small metro
13784822,Between 21 and 23 years old,Female,Large Metro
13785219,24 or 25 years old,Female,Small metro
13786362,Between 30 and 34 years old,Female,Small metro
13786375,Between 26 and 29 years old,Male,Large Metro
13787448,Between 30 and 34 years old,Female,Nonmetro
13787856,Between 18 and 20 years old,Male,Large Metro
13788340,14 or 15 years old,Female,Nonmetro
13789251,12 or 13 years old,Female,Small metro
13790291,Between 35 and 49 years old,Female,Small metro
13790812,14 or 15 years old,Male,Large Metro
13791126,Between 30 and 34 years old,Female,Large Metro
13791490,Between 35 and 49 years old,Male,Large Metro
13791616,Between 18 and 20 years old,Female,Nonmetro
13793883,Between 18 and 20 years old,Female,Large Metro
13794522,14 or 15 years old,Male,Nonmetro
13795354,Between 30 and 34 years old,Male,Large Metro
13798047,Between 50 and 64 years old,Female,Large Metro
13800393,16 or 17 years old,Female,Large Metro
13801988,Between 35 and 49 years old,Male,Large Metro
13802428,Between 30 and 34 years old,Male,Large Metro
13803654,14 or 15 years old,Male,Large Metro
13804803,Between 21 and 23 years old,Female,Small metro
13805110,Between 21 and 23 years old,Female,Large Metro
13806715,Between 35 and 49 years old,Female,Large Metro
13807368,65 years old or older,Female,Small metro
13807379,16 or 17 years old,Male,Small metro
13808132,Between 35 and 49 years old,Male,Large Metro
13808675,Between 21 and 23 years old,Male,Large Metro
13808885,65 years old or older,Male,Small metro
13809051,Between 30 and 34 years old,Female,Small metro
13809078,16 or 17 years old,Female,Large Metro
13809466,Between 21 and 23 years old,Male,Small metro
13811538,Between 35 and 49 years old,Female,Large Metro
13812308,Between 30 and 34 years old,Female,Large Metro
13813883,Between 26 and 29 years old,Male,Large Metro
13814181,12 or 13 years old,Female,Large Metro
13814542,Between 18 and 20 years old,Female,Nonmetro
13815751,Between 30 and 34 years old,Male,Small metro
13817359,16 or 17 years old,Female,Small metro
13818109,65 years old or older,Female,Small metro
13818271,Between 50 and 64 years old,Male,Small metro
13818688,Between 21 and 23 years old,Female,Nonmetro
13820239,Between 21 and 23 years old,Female,Small metro
13820317,Between 21 and 23 years old,Female,Nonmetro
13820718,65 years old or older,Male,Small metro
13820778,16 or 17 years old,Female,Large Metro
13820814,Between 30 and 34 years old,Female,Large Metro
13820935,Between 35 and 49 years old,Female,Nonmetro
13821138,Between 35 and 49 years old,Female,Large Metro
